Tahun,Provinsi,Pemda,Akun,Anggaran,Realisasi,Persentase
2026,Provinsi Aceh,Kab. Pidie,TRANSFER KE DAERAH,"1.337,58 M","427,41 M",31.95
2026,Provinsi Aceh,Kab. Pidie,Dana Bagi Hasil,"9,11 M","1,36 M",14.93
2026,Provinsi Aceh,Kab. Pidie,Dana Bagi Hasil Perkebunan Sawit,"1,10 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,DBH PBB Bagian Daerah untuk Kabupaten/Kota,"0,55 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,DBH PPh Pasal 21,"2,03 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,DBH PPh Pasal 25/29 OP,"0,07 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Gas Bumi 30%,"0,10 M","0,02 M",25.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Kehutanan - PSDH,"0,01 M","0,01 M",100.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Minerba - Iuran Tetap,"0,02 M","0,00 M",25.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Minerba - Royalti,"4,86 M","1,21 M",25.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Minyak Bumi 15%,"0,04 M","0,01 M",25.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Panas Bumi - Iuran Tetap,"0,02 M","0,02 M",100.00
2026,Provinsi Aceh,Kab. Pidie,DBH SDA Perikanan,"0,32 M","0,08 M",25.00
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Umum,"1.082,13 M","355,00 M",32.81
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Umum,"1.039,31 M","346,44 M",33.33
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Umum Bidang Kesehatan,"26,50 M","5,30 M",20.00
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Umum Bidang Pendidikan,"16,32 M","3,26 M",20.00
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Khusus Fisik,"39,90 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Khusus Penugasan,"39,90 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Pidie,Dana Alokasi Khusus Nonfisik,"206,43 M","71,05 M",34.42
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Operasional Keluarga Berencana,"7,02 M","3,51 M",50.00
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Operasional Kesehatan,"27,72 M","10,13 M",36.54
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Operasional Penyelenggaraan (BOP) Pendidikan Kesetaraan,"1,18 M","0,34 M",28.76
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Operasional Penyelenggaraan - Pendidikan Anak Usia Dini,"4,20 M","2,02 M",48.18
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Operasional Sekolah,"48,05 M","23,33 M",48.55
2026,Provinsi Aceh,Kab. Pidie,Dana Bantuan Pengembangan Program (BPP) Perpustakaan Daerah,"0,50 M","0,25 M",50.00
2026,Provinsi Aceh,Kab. Pidie,Dana Tambahan Penghasilan Guru ASN Daerah,"0,05 M","0,01 M",11.27
2026,Provinsi Aceh,Kab. Pidie,Dana Tunjangan Khusus Guru ASN Daerah,"3,18 M","0,74 M",23.12
2026,Provinsi Aceh,Kab. Pidie,Dana Tunjangan Profesi Guru ASN Daerah,"114,53 M","30,72 M",26.82
2026,Provinsi Aceh,Kab. Pidie,DANA DESA,"184,75 M","74,93 M",40.56
2026,Provinsi Aceh,Kab. Pidie,Dana Desa,"184,75 M","74,93 M",40.56
2026,Provinsi Aceh,Kab. Pidie,Dana Desa,"184,75 M","74,93 M",40.56
2026,Provinsi Aceh,Kab. Pidie,TOTAL TKDD,"1.522,33 M","502,34 M",33.00
2026,Provinsi Aceh,Kab. Simeulue,TRANSFER KE DAERAH,"591,26 M","181,72 M",30.73
2026,Provinsi Aceh,Kab. Simeulue,Dana Bagi Hasil,"4,62 M","0,60 M",12.92
2026,Provinsi Aceh,Kab. Simeulue,Dana Bagi Hasil Perkebunan Sawit,"0,70 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,DBH PBB Bagian Daerah untuk Kabupaten/Kota,"0,51 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,DBH PPh Pasal 21,"1,04 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,DBH PPh Pasal 25/29 OP,"0,02 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Gas Bumi 30%,"0,10 M","0,02 M",25.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Kehutanan - PSDH,"0,00 M","0,00 M",100.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Minerba - Royalti,"1,38 M","0,35 M",25.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Minyak Bumi 15%,"0,04 M","0,01 M",25.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Panas Bumi - Iuran Tetap,"0,01 M","0,01 M",100.00
2026,Provinsi Aceh,Kab. Simeulue,DBH SDA Perikanan,"0,84 M","0,21 M",25.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Umum,"477,42 M","153,12 M",32.07
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Umum,"459,35 M","153,12 M",33.33
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Umum Bidang Kesehatan,"9,66 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Umum Bidang Pendidikan,"8,40 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Khusus Fisik,"8,24 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Khusus Penugasan,"8,24 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Alokasi Khusus Nonfisik,"100,99 M","28,01 M",27.73
2026,Provinsi Aceh,Kab. Simeulue,Dana Bantuan Operasional Keluarga Berencana,"1,86 M","0,00 M",0.00
2026,Provinsi Aceh,Kab. Simeulue,Dana Bantuan Operasional Kesehatan,"22,18 M","4,25 M",19.17
2026,Provinsi Aceh,Kab. Simeulue,Dana Bantuan Operasional Penyelenggaraan (BOP) Pendidikan Kesetaraan,"0,20 M","0,06 M",27.72
2026,Provinsi Aceh,Kab. Simeulue,Dana Bantuan Operasional Penyelenggaraan - Pendidikan Anak Usia Dini,"1,59 M","0,72 M",45.45
