Tahun,Periode,Provinsi,Pemda,Akun,Anggaran,Realisasi,Persentase
2026,4,Provinsi Aceh,Kab. Pidie,Pendapatan Daerah,2130752931558.0,395938297330.84,18.58
2026,4,Provinsi Aceh,Kab. Pidie,PAD,277386326541.0,13417455325.84,4.84
2026,4,Provinsi Aceh,Kab. Pidie,Pajak Daerah,40196191461.0,10781362784.0,26.82
2026,4,Provinsi Aceh,Kab. Pidie,Retribusi Daerah,226194249089.0,1199381659.0,0.53
2026,4,Provinsi Aceh,Kab. Pidie,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,3000000000.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Lain-Lain PAD yang Sah,7995885991.0,1436710882.84,17.97
2026,4,Provinsi Aceh,Kab. Pidie,TKDD,1770925809000.0,378520842005.0,21.37
2026,4,Provinsi Aceh,Kab. Pidie,Pendapatan Transfer Pemerintah Pusat,1770925809000.0,378520842005.0,21.37
2026,4,Provinsi Aceh,Kab. Pidie,Pendapatan Lainnya,82440796017.0,4000000000.0,4.85
2026,4,Provinsi Aceh,Kab. Pidie,Dana Darurat,0.0,4000000000.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Pendapatan Transfer Antar Daerah,82440796017.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Daerah,2141831934061.0,266636427023.0,12.45
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Pegawai,827518652807.27,223334264061.0,26.99
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Pegawai,827518652807.27,223334264061.0,26.99
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Barang dan Jasa,488147225814.93,38457316526.0,7.88
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Barang dan Jasa,488147225814.93,38457316526.0,7.88
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Modal,183867117878.52,1710846436.0,0.93
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Modal,183867117878.52,1710846436.0,0.93
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Lainnya,642298937560.28,3134000000.0,0.49
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Bagi Hasil,3122943120.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Bantuan Keuangan,538291653200.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Subsidi,654000000.0,174000000.0,26.61
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Hibah,61416565779.28,2960000000.0,4.82
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Bantuan Sosial,30813775461.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Belanja Tidak Terduga,8000000000.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Pembiayaan Daerah,,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Penerimaan Pembiayaan Daerah,11079002503.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Pidie,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,11079002503.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Simeulue,Pendapatan Daerah,835639448241.18,78157925516.88,9.35
2026,4,Provinsi Aceh,Kab. Simeulue,PAD,90296436150.18,1590152191.88,1.76
2026,4,Provinsi Aceh,Kab. Simeulue,Pajak Daerah,9627000000.0,1188329262.55,12.34
2026,4,Provinsi Aceh,Kab. Simeulue,Retribusi Daerah,9867345481.33,248591300.0,2.52
2026,4,Provinsi Aceh,Kab. Simeulue,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,5000000000.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Simeulue,Lain-Lain PAD yang Sah,65802090668.85,153231629.33,0.23
2026,4,Provinsi Aceh,Kab. Simeulue,TKDD,715159420000.0,76557774000.0,10.7
2026,4,Provinsi Aceh,Kab. Simeulue,Pendapatan Transfer Pemerintah Pusat,715159420000.0,76557774000.0,10.7
2026,4,Provinsi Aceh,Kab. Simeulue,Pendapatan Lainnya,30183592091.0,9999325.0,0.03
2026,4,Provinsi Aceh,Kab. Simeulue,Pendapatan Hibah,0.0,9999325.0,0.0
2026,4,Provinsi Aceh,Kab. Simeulue,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,10428548227.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Simeulue,Pendapatan Transfer Antar Daerah,19755043864.0,0.0,0.0
2026,4,Provinsi Aceh,Kab. Simeulue,Belanja Daerah,835639448241.18,126254428544.4,15.11
2026,4,Provinsi Aceh,Kab. Simeulue,Belanja Pegawai,419035108015.93,81884131476.0,19.54
